LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0107,Gloucester,2875.1,344.7,3219.8,820.2308337,806.2730688,7354.321864,1477.165486,328.3248652,250.3590101,378.2350283,1273.429035,1623.609923,3481.996111,17793.94523,10594.67932,17843.16505,2020-21
0110,Grafton,3215.1,95.5,3310.6,348.9395758,1106.421346,5636.28349,1837.148459,37.75689714,179.2336257,339.3130136,1119.247476,1028.324892,1428.62836,13061.29714,9136.156832,13574.28861,2020-21
0111,Granby,759.5,91.5,851,1225.103924,1059.460171,4948.410797,1619.404872,46.56616195,92.60961159,1510.833443,1166.372614,942.3660303,1942.044766,14553.17239,9277.285056,14157.977,2020-21
0114,Greenfield,1737.2,435.9,2173.1,989.9821552,909.7944969,6036.790237,1398.933341,108.4561363,509.5953258,476.4949344,1671.950265,1023.16659,3743.52291,16868.68639,9440.064472,16786.34715,2020-21
0117,Hadley,535.7,128.2,663.9,906.8249804,1105.040881,6477.594699,1259.782304,23.76160164,460.6551241,410.6417398,2205.850509,1393.603528,2401.521374,16645.27674,9737.476349,16452.96066,2020-21
0118,Halifax,590.4,32.6,623,622.3617378,673.4402778,5663.463127,616.748916,29.12586382,423.3836213,358.707893,1036.451236,899.231521,1414.150576,11737.06477,7764.869699,15851.95658,2020-21
0121,Hancock,47,50.2,97.2,750.0274468,3093.279574,10388.55191,1482.21383,122.7659574,251.936383,,1617.223404,1356.364681,30.9787234,19093.34191,#¡VALOR!,16824.83899,2020-21
0122,Hanover,2662.4,75.8,2738.2,397.070613,1332.335156,6542.380041,957.4928786,140.9867676,253.870951,471.4718637,1636.35486,1169.29837,1419.421022,14320.68252,9698.537658,14912.26069,2020-21
0125,Harvard,1051.6,45.4,1097,637.1657474,1473.404821,8200.466679,1208.056381,285.042868,509.5746196,338.4415652,1424.66279,1507.159386,3279.697794,18863.67265,12014.98693,20195.9818,2020-21
0127,Hatfield,432.5,81.6,514.1,1040,875.0728324,6408.938728,1579.560694,30.13179191,249.6323699,217.6809249,1286.050356,1090.413873,1622.578035,14400.0596,9361.017341,13775.80043,2020-21
0128,Haverhill,8123,670.2,8793.2,345.1939074,790.5672436,5461.675566,1301.099984,122.3174406,493.4166933,610.1810784,1568.512277,1120.039009,2267.406345,14080.40954,8779.258006,14635.98601,2020-21
0131,Hingham,4254.4,76.8,4331.2,426.0948665,895.4078131,6846.578131,1550.985333,59.64624859,239.8110192,700.8454776,1087.050583,1085.088144,1363.768804,14255.27642,10293.27402,15293.83427,2020-21
0133,Holbrook,1305.6,95.2,1400.8,599.811757,866.8746094,5308.07045,945.634421,43.14040288,319.1931143,482.5754442,1282.527397,934.1895527,2947.174081,13729.19123,7965.488442,15630.01024,2020-21
0135,Holland,229.1,6.5,235.6,563.164557,742.7018769,5691.680489,1619.030991,40.9253601,321.1392405,414.1030118,1328.965517,1107.389786,2273.27368,14102.37451,8829.580969,15849.86418,2020-21
0136,Holliston,2919.7,94.9,3014.6,498.8844162,1259.050783,6177.488858,1499.892369,79.48847142,372.7543926,620.5727986,957.2363633,956.9720827,1409.284553,13831.62509,10009.24767,15049.45455,2020-21
0137,Holyoke,5338,1361.1,6699.1,529.0352117,1737.219867,5245.485993,1658.538747,312.6007681,1227.805165,435.39068,2364.849284,1564.346613,2661.331064,17736.60339,10617.04122,17941.51686,2020-21
0138,Hopedale,1092.9,81.8,1174.7,422.0434257,988.4264892,6281.235246,1694.731448,95.24201665,363.0780492,664.6289688,1295.420029,1040.532528,2782.78525,15628.12345,10087.34222,16149.04958,2020-21
0139,Hopkinton,3872.7,75.4,3948.1,596.2287784,624.7994655,6461.346916,1251.549944,202.3388411,404.808986,579.1034937,1239.188233,1148.330978,1838.559437,14346.25507,9523.947646,14817.72326,2020-21
