district_name,district_code,churn_intake_enroll,percent_churn,percent_intake,stability_enroll,percent_stability,year
Franklin,01010000,"5,603",4.1,2.0,"5,520",97.6,2015-16
Franklin County Regional Vocational Technical,08180000,512,6.1,0.6,511,94.1,2015-16
Freetown-Lakeville,06650000,"2,899",5.7,2.8,"2,842",96.2,2015-16
Frontier,06700000,633,5.7,3.9,616,96.9,2015-16
Gardner,01030000,"2,603",16.0,10.2,"2,442",90.4,2015-16
Gateway,06720000,923,11.5,7.9,880,92.8,2015-16
Georgetown,01050000,"1,528",5.8,2.1,"1,505",95.7,2015-16
Gill-Montague,06740000,993,13.3,6.7,950,90.6,2015-16
Global Learning Charter Public (District),04960000,509,3.1,1.2,508,97.0,2015-16
Gloucester,01070000,"2,993",6.2,3.8,"2,929",96.0,2015-16
Grafton,01100000,"3,313",6.0,3.9,"3,218",96.9,2015-16
Granby,01110000,841,6.3,3.2,824,95.6,2015-16
Greater Fall River Regional Vocational Technical,08210000,"1,416",4.1,1.2,"1,412",96.2,2015-16
Greater Lawrence Regional Vocational Technical,08230000,"1,415",4.2,1.1,"1,410",96.1,2015-16
Greater Lowell Regional Vocational Technical,08280000,"2,159",5.7,2.5,"2,126",95.8,2015-16
Greater New Bedford Regional Vocational Technical,08250000,"2,181",2.7,0.0,"2,181",97.3,2015-16
Greenfield,01140000,"1,775",14.0,9.6,"1,649",92.7,2015-16
Groton-Dunstable,06730000,"2,544",7.7,6.1,"2,413",97.3,2015-16
Hadley,01170000,629,4.6,3.3,608,98.7,2015-16
Halifax,01180000,557,4.5,2.2,547,97.3,2015-16
Hamilton-Wenham,06750000,"1,853",3.2,1.4,"1,834",97.8,2015-16
Hampden Charter School of Science (District),04990000,451,18.4,10.2,439,83.8,2015-16
Hampden-Wilbraham,06800000,"3,228",5.3,3.4,"3,148",97.1,2015-16
Hampshire,06830000,760,5.0,2.4,755,95.6,2015-16
Hancock,01210000,47,12.8,4.3,45,91.1,2015-16
Hanover,01220000,"2,653",1.8,0.8,"2,634",99.0,2015-16
Harvard,01250000,"1,169",11.0,9.4,"1,143",91.0,2015-16
Hatfield,01270000,455,4.6,2.4,448,96.9,2015-16
Haverhill,01280000,"7,878",15.4,9.1,"7,426",90.9,2015-16
Hawlemont,06850000,109,15.6,9.2,103,89.3,2015-16
Helen Y. Davis Leadership Academy Charter Public (District),04190000,236,17.8,11.0,226,85.8,2015-16
Hill View Montessori Charter Public (District),04550000,309,2.9,1.9,306,98.0,2015-16
Hilltown Cooperative Charter Public (District),04500000,213,2.3,0.9,211,98.6,2015-16
Hingham,01310000,"4,384",2.9,2.1,"4,333",98.3,2015-16
Holbrook,01330000,"1,247",8.1,4.1,"1,211",94.6,2015-16
Holland,01350000,238,9.7,5.9,226,95.1,2015-16
Holliston,01360000,"2,949",3.9,2.4,"2,895",97.9,2015-16
Holyoke,01370000,"6,012",25.2,16.3,"5,488",83.7,2015-16
Holyoke Community Charter (District),04530000,730,8.2,4.7,705,95.0,2015-16
Hopedale,01380000,"1,215",5.3,3.2,"1,183",97.3,2015-16
Hopkinton,01390000,"3,513",3.5,2.5,"3,465",97.9,2015-16
Hudson,01410000,"2,904",8.1,4.6,"2,821",94.9,2015-16
Hull,01420000,"1,019",10.2,5.4,995,92.0,2015-16
Innovation Academy Charter (District),04350000,799,4.4,1.8,794,96.2,2015-16
Ipswich,01440000,"1,872",4.3,2.7,"1,845",97.1,2015-16
King Philip,06900000,"2,160",2.8,1.7,"2,137",98.3,2015-16
Kingston,01450000,"1,096",5.5,2.8,"1,072",96.6,2015-16
KIPP Academy Boston Charter School (District),04630000,458,17.0,12.2,435,87.4,2015-16
KIPP Academy Lynn Charter (District),04290000,"1,050",6.6,2.7,"1,042",94.1,2015-16
Lanesborough,01480000,214,7.5,4.2,209,94.7,2015-16
Lawrence,01490000,"15,047",20.0,13.5,"13,930",87.6,2015-16
Lawrence Family Development Charter (District),04540000,705,3.0,2.6,704,97.2,2015-16
Lee,01500000,731,9.8,6.3,705,93.5,2015-16
Leicester,01510000,"1,661",10.4,7.0,"1,609",92.5,2015-16
Lenox,01520000,760,5.4,3.3,739,97.3,2015-16
Leominster,01530000,"6,390",23.0,8.5,"6,102",91.8,2015-16
Leverett,01540000,135,4.4,3.7,131,98.5,2015-16
Lexington,01550000,"7,123",5.1,3.2,"6,942",97.5,2015-16
Lincoln,01570000,"1,321",20.3,8.8,"1,239",85.0,2015-16
Lincoln-Sudbury,06950000,"1,617",2.5,1.1,"1,603",98.4,2015-16
Littleton,01580000,"1,670",4.0,2.7,"1,629",98.5,2015-16
Longmeadow,01590000,"2,940",3.5,2.3,"2,887",98.4,2015-16
Lowell,01600000,"15,329",14.6,7.7,"14,458",91.4,2015-16
Lowell Collegiate Charter School (District),35030000,521,12.7,8.8,500,91.0,2015-16
Lowell Community Charter Public (District),04560000,832,3.6,1.3,824,97.3,2015-16
Lowell Middlesex Academy Charter (District),04580000,135,50.4,37.8,98,68.4,2015-16
Ludlow,01610000,"2,791",7.2,3.8,"2,732",94.8,2015-16
Lunenburg,01620000,"1,651",9.5,5.4,"1,582",94.4,2015-16
Lynn,01630000,"16,117",14.1,8.5,"15,148",92.8,2015-16
Lynnfield,01640000,"2,257",3.5,2.7,"2,228",97.8,2015-16
Ma Academy for Math and Science,04680000,99,3.0,2.0,99,97.0,2015-16
Malden,01650000,"7,109",16.6,11.4,"6,615",89.9,2015-16
Manchester Essex Regional,06980000,"1,456",1.7,0.8,"1,447",98.9,2015-16
Mansfield,01670000,"4,147",5.6,3.5,"4,053",96.6,2015-16
Marblehead,01680000,"3,265",5.0,3.3,"3,213",96.6,2015-16
Marblehead Community Charter Public (District),04640000,285,22.1,3.5,279,79.6,2015-16
Marion,01690000,471,8.1,6.8,451,96.0,2015-16
Marlborough,01700000,"4,818",12.6,7.9,"4,511",93.8,2015-16
Marshfield,01710000,"4,376",5.2,3.7,"4,288",96.9,2015-16
Martha's Vineyard,07000000,680,8.7,5.1,656,94.7,2015-16
Martha's Vineyard Charter (District),04660000,196,15.8,12.8,179,92.2,2015-16
Martin Luther King Jr. Charter School of Excellence (District),04920000,377,11.7,6.4,372,89.5,2015-16
Masconomet,07050000,"1,945",1.7,1.1,"1,931",99.0,2015-16
Mashpee,01720000,"1,715",9.3,5.1,"1,652",94.2,2015-16
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,755,41.3,29.8,646,68.6,2015-16
MATCH Charter Public School (District),04690000,"1,074",8.4,5.8,"1,038",94.8,2015-16
Mattapoisett,01730000,495,4.0,2.4,486,97.7,2015-16
Maynard,01740000,"1,482",7.8,5.9,"1,423",96.0,2015-16
Medfield,01750000,"2,664",3.1,2.2,"2,611",98.9,2015-16
Medford,01760000,"4,529",6.9,3.4,"4,443",95.2,2015-16
Medway,01770000,"2,416",3.6,2.3,"2,373",98.1,2015-16
Melrose,01780000,"3,822",5.0,3.0,"3,736",97.3,2015-16
Mendon-Upton,07100000,"2,340",5.0,3.3,"2,294",96.9,2015-16
Methuen,01810000,"7,333",11.0,6.1,"7,063",92.9,2015-16
Middleborough,01820000,"3,144",8.8,4.4,"3,053",93.9,2015-16
Middleton,01840000,728,2.7,1.8,717,98.7,2015-16
Milford,01850000,"4,348",10.5,7.0,"4,144",93.9,2015-16
Millbury,01860000,"1,791",8.9,5.9,"1,737",93.9,2015-16
Millis,01870000,"1,396",4.4,2.6,"1,367",97.6,2015-16
Milton,01890000,"4,173",4.5,2.5,"4,099",97.3,2015-16
Minuteman Regional Vocational Technical,08300000,643,7.9,1.9,636,93.1,2015-16
Mohawk Trail,07170000,"1,054",9.2,6.2,"1,013",94.7,2015-16
Monomoy Regional School District,07120000,"1,983",8.2,4.9,"1,938",94.2,2015-16
Monson,01910000,"1,115",10.0,4.9,"1,075",93.4,2015-16
Montachusett Regional Vocational Technical,08320000,"1,445",4.0,1.9,"1,444",96.1,2015-16
Mount Greylock,07150000,561,9.3,8.2,546,93.2,2015-16
Mystic Valley Regional Charter (District),04700000,"1,510",4.6,3.4,"1,491",96.6,2015-16
Nahant,01960000,157,7.0,2.5,153,95.4,2015-16
Nantucket,01970000,"1,640",8.4,5.7,"1,568",95.9,2015-16
Narragansett,07200000,"1,418",7.0,4.3,"1,366",96.6,2015-16
Nashoba,07250000,"3,505",6.0,4.3,"3,432",96.2,2015-16
Nashoba Valley Regional Vocational Technical,08520000,746,5.1,1.5,739,95.8,2015-16
Natick,01980000,"5,556",6.5,4.2,"5,436",95.7,2015-16
Nauset,06600000,"1,534",6.4,2.2,"1,514",94.8,2015-16
Needham,01990000,"5,658",2.6,1.6,"5,585",98.7,2015-16
Neighborhood House Charter (District),04440000,409,8.1,4.9,398,94.5,2015-16
New Bedford,02010000,"13,441",17.1,9.9,"12,750",89.6,2015-16
New Liberty Charter School of Salem (District),04670000,83,75.9,47.0,58,34.5,2015-16
New Salem-Wendell,07280000,168,7.7,6.5,161,96.3,2015-16
Newburyport,02040000,"2,360",4.4,3.0,"2,302",98.0,2015-16
Newton,02070000,"13,026",6.2,4.5,"12,682",96.5,2015-16
Norfolk,02080000,929,3.6,2.8,907,98.8,2015-16
Norfolk County Agricultural,09150000,530,3.0,0.9,527,97.5,2015-16
North Adams,02090000,"1,583",14.9,8.4,"1,483",91.7,2015-16
North Andover,02110000,"4,838",5.6,3.7,"4,716",96.9,2015-16
North Attleborough,02120000,"4,567",5.7,3.7,"4,445",97.1,2015-16
North Brookfield,02150000,589,12.6,5.8,569,90.5,2015-16
North Middlesex,07350000,"3,317",8.0,4.9,"3,225",95.1,2015-16
North Reading,02170000,"2,570",2.9,1.7,"2,534",98.5,2015-16
Northampton,02100000,"2,767",8.1,4.3,"2,676",95.2,2015-16
Northampton-Smith Vocational Agricultural,04060000,475,4.0,1.3,473,96.4,2015-16
Northboro-Southboro,07300000,"1,466",2.1,1.1,"1,457",98.5,2015-16
Northborough,02130000,"1,781",3.9,2.1,"1,757",97.6,2015-16
Northbridge,02140000,"2,468",8.5,4.9,"2,384",94.7,2015-16
Northeast Metropolitan Regional Vocational Technical,08530000,"1,278",6.3,2.7,"1,269",94.4,2015-16
Northern Berkshire Regional Vocational Technical,08510000,502,9.4,4.6,489,93.0,2015-16
Norton,02180000,"2,591",4.9,3.1,"2,537",97.2,2015-16
Norwell,02190000,"2,234",3.1,2.4,"2,201",98.3,2015-16
Norwood,02200000,"3,574",9.5,5.8,"3,458",93.7,2015-16
Oak Bluffs,02210000,454,11.7,8.6,433,92.6,2015-16
Old Colony Regional Vocational Technical,08550000,559,3.6,1.6,554,97.3,2015-16
Old Rochester,07400000,"1,260",5.1,2.6,"1,242",96.3,2015-16
Orange,02230000,681,20.4,16.6,607,89.3,2015-16
Orleans,02240000,223,7.2,3.6,216,95.8,2015-16
Oxford,02260000,"1,895",11.7,7.7,"1,806",93.0,2015-16
Palmer,02270000,"1,515",11.2,7.2,"1,431",94.0,2015-16
Pathfinder Regional Vocational Technical,08600000,632,5.1,1.6,624,96.2,2015-16
Paulo Freire Social Justice Charter School (District),35010000,324,14.8,7.1,314,87.9,2015-16
Peabody,02290000,"6,185",8.3,5.1,"5,939",95.7,2015-16
Pelham,02300000,129,7.8,3.1,125,95.2,2015-16
Pembroke,02310000,"3,173",3.8,2.1,"3,115",98.2,2015-16
Pentucket,07450000,"2,607",5.3,3.5,"2,558",96.6,2015-16
Petersham,02340000,121,2.5,1.7,120,98.3,2015-16
Phoenix Academy Public Charter High School Springfield (District),35080000,258,60.5,41.1,180,56.7,2015-16
Phoenix Charter Academy (District),04930000,277,69.0,43.7,183,47.0,2015-16
Pioneer Charter School of Science (District),04940000,374,13.9,7.8,360,89.4,2015-16
Pioneer Charter School of Science II (PCSS-II) (District),35060000,303,21.5,11.2,281,84.7,2015-16
Pioneer Valley,07500000,922,6.6,4.3,893,96.4,2015-16
Pioneer Valley Chinese Immersion Charter (District),04970000,447,6.5,4.0,441,94.8,2015-16
Pioneer Valley Performing Arts Charter Public (District),04790000,413,8.0,3.1,405,93.8,2015-16
Pittsfield,02360000,"5,851",10.6,5.8,"5,640",93.8,2015-16
Plainville,02380000,785,8.0,3.7,758,95.3,2015-16
Plymouth,02390000,"7,880",6.5,3.5,"7,666",96.6,2015-16
Plympton,02400000,227,7.0,4.4,219,96.3,2015-16
Prospect Hill Academy Charter (District),04870000,"1,189",6.5,4.1,"1,161",95.8,2015-16
Provincetown,02420000,125,13.6,8.8,118,91.5,2015-16
Quabbin,07530000,"2,504",8.9,3.9,"2,434",93.9,2015-16
Quaboag Regional,07780000,"1,480",8.2,5.1,"1,419",95.7,2015-16
Quincy,02430000,"9,611",10.9,7.4,"9,196",93.6,2015-16
Ralph C Mahar,07550000,851,14.5,8.9,805,90.9,2015-16
Randolph,02440000,"3,141",17.2,12.2,"2,897",90.3,2015-16
Reading,02460000,"4,447",3.2,2.2,"4,401",97.9,2015-16
Revere,02480000,"7,721",15.8,10.4,"7,253",90.4,2015-16
Richmond,02490000,183,4.9,3.8,178,97.8,2015-16
Rising Tide Charter Public (District),04830000,643,5.9,2.8,631,95.9,2015-16
River Valley Charter (District),04820000,288,0.3,0.3,288,99.7,2015-16
Rochester,02500000,491,3.1,2.0,485,98.1,2015-16
Rockland,02510000,"2,392",9.4,3.7,"2,339",92.8,2015-16
Rockport,02520000,973,3.8,2.4,955,98.0,2015-16
Rowe,02530000,55,5.5,3.6,54,96.3,2015-16
Roxbury Preparatory Charter (District),04840000,"1,196",13.5,8.7,"1,165",88.8,2015-16
Sabis International Charter (District),04410000,"1,605",6.7,4.5,"1,578",94.9,2015-16
Salem,02580000,"4,073",13.9,8.5,"3,817",92.3,2015-16
Salem Academy Charter (District),04850000,431,6.5,3.0,423,95.3,2015-16
Sandwich,02610000,"2,831",4.5,2.9,"2,777",97.3,2015-16
Saugus,02620000,"2,809",10.1,5.4,"2,691",93.8,2015-16
Savoy,02630000,50,26.0,20.0,47,78.7,2015-16
Scituate,02640000,"3,052",3.3,2.2,"3,007",98.1,2015-16
Seekonk,02650000,"2,019",5.3,3.9,"1,973",96.9,2015-16
Seven Hills Charter Public (District),04860000,708,7.3,3.5,702,93.4,2015-16
Sharon,02660000,"3,573",5.0,4.1,"3,484",97.4,2015-16
Shawsheen Valley Regional Vocational Technical,08710000,"1,350",1.7,0.4,"1,345",98.7,2015-16
Sherborn,02690000,412,5.1,3.9,399,98.0,2015-16
Shrewsbury,02710000,"6,258",8.5,6.2,"6,064",94.4,2015-16
Shutesbury,02720000,137,8.0,3.6,132,95.5,2015-16
Silver Hill Horace Mann Charter (District),04770000,590,4.1,2.0,587,96.4,2015-16
Silver Lake,07600000,"1,959",9.8,7.4,"1,909",92.6,2015-16
Sizer School: A North Central Charter Essential (District),04740000,365,9.6,4.4,356,92.7,2015-16
Somerset,02730000,"1,868",8.6,3.7,"1,821",94.0,2015-16
Somerset Berkley Regional School District,07630000,988,6.3,3.0,962,96.3,2015-16
Somerville,02740000,"5,178",14.7,9.8,"4,923",90.5,2015-16
South Hadley,02780000,"1,916",8.0,5.3,"1,846",95.5,2015-16
South Middlesex Regional Vocational Technical,08290000,733,10.6,4.6,709,92.4,2015-16
South Shore Charter Public (District),04880000,618,6.5,4.4,599,96.5,2015-16
South Shore Regional Vocational Technical,08730000,632,3.0,1.1,631,97.1,2015-16
Southampton,02750000,534,3.9,2.1,527,97.3,2015-16
Southborough,02760000,"1,330",4.4,3.9,"1,306",97.4,2015-16
Southbridge,02770000,"2,383",18.4,10.6,"2,215",88.3,2015-16
Southeastern Regional Vocational Technical,08720000,"1,385",3.2,0.5,"1,382",97.0,2015-16
Southern Berkshire,07650000,802,9.2,4.5,773,94.4,2015-16
Southern Worcester County Regional Vocational Technical,08760000,"1,122",3.9,0.6,"1,117",96.5,2015-16
Southwick-Tolland-Granville Regional School District,07660000,"1,682",7.3,3.8,"1,635",95.4,2015-16
Spencer-E Brookfield,07670000,"1,662",11.7,6.4,"1,589",92.4,2015-16
Springfield,02810000,"27,803",22.2,12.5,"26,016",86.5,2015-16
Springfield Preparatory Charter School (District),35100000,113,13.3,9.7,108,90.7,2015-16
Stoneham,02840000,"2,411",7.1,5.1,"2,353",95.3,2015-16
Stoughton,02850000,"3,835",11.2,7.1,"3,665",93.2,2015-16
Sturbridge,02870000,999,6.9,3.4,974,95.5,2015-16
Sturgis Charter Public (District),04890000,814,3.3,1.6,808,97.4,2015-16
Sudbury,02880000,"2,869",3.0,2.1,"2,824",98.5,2015-16
Sunderland,02890000,250,13.2,8.8,233,93.1,2015-16
Sutton,02900000,"1,505",4.3,2.5,"1,471",98.0,2015-16
Swampscott,02910000,"2,329",5.8,3.6,"2,261",97.3,2015-16
Swansea,02920000,"2,141",8.5,4.6,"2,067",94.8,2015-16
Tantasqua,07700000,"1,845",6.0,2.9,"1,807",96.5,2015-16
Taunton,02930000,"8,456",11.2,6.1,"8,076",94.4,2015-16
TEC Connections Academy Commonwealth Virtual School District,39020000,"1,333",67.1,52.1,861,50.9,2015-16
Tewksbury,02950000,"3,647",4.4,2.8,"3,559",98.0,2015-16
Tisbury,02960000,347,12.4,8.9,325,93.5,2015-16
Topsfield,02980000,653,3.5,1.8,643,98.0,2015-16
Tri County Regional Vocational Technical,08780000,"1,033",5.8,1.3,"1,022",95.2,2015-16
Triton,07730000,"2,758",8.8,5.5,"2,697",93.3,2015-16
Truro,03000000,124,8.1,5.6,120,95.0,2015-16
Tyngsborough,03010000,"1,772",6.9,4.9,"1,737",94.9,2015-16
UP Academy Charter School of Boston (District),04800000,510,16.5,7.8,496,85.9,2015-16
UP Academy Charter School of Dorchester (District),35050000,700,7.3,1.3,700,92.7,2015-16
Up-Island Regional,07740000,395,9.6,7.8,377,94.7,2015-16
Upper Cape Cod Regional Vocational Technical,08790000,709,3.4,0.8,707,96.9,2015-16
Uxbridge,03040000,"1,981",10.2,6.3,"1,910",93.1,2015-16
Veritas Preparatory Charter School (District),04980000,328,15.2,5.2,314,88.5,2015-16
Wachusett,07750000,"7,470",4.7,2.9,"7,355",97.2,2015-16
Wakefield,03050000,"3,550",3.3,2.0,"3,502",98.1,2015-16
Wales,03060000,172,7.6,3.5,169,94.1,2015-16
Walpole,03070000,"3,985",5.4,2.2,"3,912",96.6,2015-16
Waltham,03080000,"5,703",12.9,8.7,"5,402",92.4,2015-16
Ware,03090000,"1,353",15.2,10.3,"1,279",89.7,2015-16
Wareham,03100000,"2,728",15.7,10.4,"2,522",91.2,2015-16
Watertown,03140000,"2,767",12.4,9.1,"2,564",94.6,2015-16
Wayland,03150000,"2,687",2.2,1.5,"2,659",98.8,2015-16
Webster,03160000,"2,082",18.3,9.8,"1,916",88.7,2015-16
Wellesley,03170000,"5,159",3.7,2.8,"5,075",97.9,2015-16
Wellfleet,03180000,120,8.3,5.8,115,95.7,2015-16
West Boylston,03220000,945,6.3,4.0,919,96.3,2015-16
West Bridgewater,03230000,"1,336",3.2,1.7,"1,323",97.7,2015-16
West Springfield,03320000,"4,352",15.0,9.8,"4,081",91.1,2015-16
Westborough,03210000,"3,834",9.1,6.1,"3,675",95.1,2015-16
Westfield,03250000,"5,836",8.9,5.7,"5,598",95.4,2015-16
Westford,03260000,"5,252",3.5,2.8,"5,146",98.5,2015-16
Westhampton,03270000,144,6.3,3.5,140,96.4,2015-16
Weston,03300000,"2,232",3.8,2.6,"2,180",98.5,2015-16
Westport,03310000,"1,564",5.1,2.9,"1,527",97.2,2015-16
Westwood,03350000,"3,206",3.8,2.6,"3,153",97.9,2015-16
Weymouth,03360000,"6,785",11.9,7.9,"6,559",91.4,2015-16
Whately,03370000,139,7.2,2.2,137,94.2,2015-16
Whitman-Hanson,07800000,"4,183",6.3,4.5,"4,079",96.2,2015-16
Whittier Regional Vocational Technical,08850000,"1,361",5.5,2.3,"1,351",95.2,2015-16
Williamsburg,03400000,171,5.3,4.7,165,98.2,2015-16
Williamstown,03410000,465,7.1,5.2,452,95.6,2015-16
Wilmington,03420000,"3,437",3.4,1.9,"3,378",98.3,2015-16
Winchendon,03430000,"1,362",10.4,4.8,"1,305",93.9,2015-16
Winchester,03440000,"4,645",2.4,1.4,"4,592",98.8,2015-16
Winthrop,03460000,"2,029",11.4,8.7,"1,892",95.0,2015-16
Woburn,03470000,"4,897",8.9,4.6,"4,727",95.0,2015-16
Worcester,03480000,"27,165",18.7,11.5,"25,573",88.3,2015-16
Worthington,03490000,54,18.5,14.8,49,89.8,2015-16
Wrentham,03500000,"1,092",4.8,3.3,"1,064",97.7,2015-16
