district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Pathfinder Regional Vocational Technical,08600000,0,0,0,0,189,29.2,NA,NA,NA,NA,NA,NA,355,54.8,242,37.3,2018-19
Paulo Freire Social Justice Charter School (District),35010000,76,27.6,30,10.9,66,24,NA,NA,NA,NA,NA,NA,242,88,219,79.6,2018-19
Peabody,02290000,839,14,534,8.9,1192,19.7,NA,NA,NA,NA,NA,NA,2919,48.2,1811,30.3,2018-19
Pelham,02300000,4,3,1,0.7,30,22.2,NA,NA,NA,NA,NA,NA,49,36.3,26,19.3,2018-19
Pembroke,02310000,49,1.8,28,1,400,14.2,NA,NA,NA,NA,NA,NA,688,24.4,347,12.4,2018-19
Pentucket,07450000,18,0.7,8,0.3,505,20.5,NA,NA,NA,NA,NA,NA,691,28,292,12,2018-19
Petersham,02340000,1,0.9,1,0.9,24,20.7,NA,NA,NA,NA,NA,NA,49,42.2,27,23.5,2018-19
Phoenix Academy Public Charter High School Lawrence (District),35180000,75,63,32,26.9,33,27.7,NA,NA,NA,NA,NA,NA,100,84,72,60.5,2018-19
Phoenix Academy Public Charter High School Springfield (District),35080000,45,22.7,37,18.7,64,32.3,NA,NA,NA,NA,NA,NA,182,91.9,171,86.4,2018-19
Phoenix Charter Academy (District),04930000,160,79.6,118,58.7,22,10.9,NA,NA,NA,NA,NA,NA,181,90,92,45.8,2018-19
Pioneer Charter School of Science (District),04940000,524,66.4,214,27.1,77,9.8,NA,NA,NA,NA,NA,NA,520,65.9,315,39.9,2018-19
Pioneer Charter School of Science II (PCSS-II) (District),35060000,186,51.4,87,24,44,12.2,NA,NA,NA,NA,NA,NA,208,57.5,84,23.2,2018-19
Pioneer Valley,07500000,4,0.5,1,0.1,146,19.5,NA,NA,NA,NA,NA,NA,267,35.6,161,21.7,2018-19
Pioneer Valley Chinese Immersion Charter (District),04970000,113,21.4,17,3.2,29,5.5,NA,NA,NA,NA,NA,NA,129,24.4,83,15.7,2018-19
Pioneer Valley Performing Arts Charter Public (District),04790000,3,0.8,2,0.5,82,20.5,NA,NA,NA,NA,NA,NA,160,40,98,24.5,2018-19
Pittsfield,02360000,442,8.1,239,4.4,1201,21.9,NA,NA,NA,NA,NA,NA,3339,60.9,2781,51.2,2018-19
Plainville,02380000,43,6,31,4.4,123,17.2,NA,NA,NA,NA,NA,NA,239,33.4,141,19.8,2018-19
Plymouth,02390000,288,3.9,120,1.6,1479,19.8,NA,NA,NA,NA,NA,NA,2756,36.9,1717,23.2,2018-19
