district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Franklin County Regional Vocational Technical,08180000,1,0.2,0,0,139,28.5,NA,NA,NA,NA,NA,NA,254,52,174,35.7,2016-17
Freetown-Lakeville,06650000,36,1.3,20,0.7,420,14.9,NA,NA,NA,NA,NA,NA,766,27.2,433,15.7,2016-17
Frontier,06700000,20,3.3,9,1.5,125,20.2,NA,NA,NA,NA,NA,NA,198,32,107,17.5,2016-17
Gardner,01030000,172,7.2,110,4.6,539,22.4,NA,NA,NA,NA,NA,NA,1434,59.6,1182,49.6,2016-17
Gateway,06720000,33,3.9,20,2.4,158,18.6,NA,NA,NA,NA,NA,NA,360,42.4,251,29.8,2016-17
Georgetown,01050000,7,0.5,4,0.3,178,12.2,NA,NA,NA,NA,NA,NA,279,19.1,127,8.8,2016-17
Gill-Montague,06740000,94,9.9,70,7.4,197,20.4,NA,NA,NA,NA,NA,NA,540,56,418,44,2016-17
Global Learning Charter Public (District),04960000,84,16.6,54,10.7,68,13.4,NA,NA,NA,NA,NA,NA,301,59.4,252,49.7,2016-17
Gloucester,01070000,239,8.2,147,5,722,24.2,NA,NA,NA,NA,NA,NA,1491,50,1017,34.7,2016-17
Gosnold,01090000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2016-17
Grafton,01100000,87,2.7,25,0.8,554,17.2,NA,NA,NA,NA,NA,NA,841,26.2,379,11.9,2016-17
Granby,01110000,46,6.1,23,3,129,16.8,NA,NA,NA,NA,NA,NA,260,33.9,161,21.3,2016-17
Greater Fall River Regional Vocational Technical,08210000,76,5.4,27,1.9,137,9.8,NA,NA,NA,NA,NA,NA,590,42.3,503,36.1,2016-17
Greater Lawrence Regional Vocational Technical,08230000,601,40.8,145,9.8,300,20.4,NA,NA,NA,NA,NA,NA,985,66.9,768,52.1,2016-17
Greater Lowell Regional Vocational Technical,08280000,527,24.1,118,5.4,462,21.2,NA,NA,NA,NA,NA,NA,1318,60.3,958,43.9,2016-17
Greater New Bedford Regional Vocational Technical,08250000,499,23.2,61,2.8,243,11.3,NA,NA,NA,NA,NA,NA,974,45.2,795,36.9,2016-17
Greenfield,01140000,126,7.6,65,3.9,288,17,NA,NA,NA,NA,NA,NA,943,55.7,814,49,2016-17
Groton-Dunstable,06730000,55,2.3,20,0.8,391,16,NA,NA,NA,NA,NA,NA,505,20.6,145,6,2016-17
Hadley,01170000,43,7.7,9,1.6,73,12.9,NA,NA,NA,NA,NA,NA,145,25.6,86,15.3,2016-17
Halifax,01180000,7,1.2,5,0.8,104,16.9,NA,NA,NA,NA,NA,NA,207,33.6,112,18.9,2016-17
Hamilton-Wenham,06750000,26,1.5,8,0.4,279,15.4,NA,NA,NA,NA,NA,NA,374,20.6,122,6.8,2016-17
Hampden Charter School of Science (District),04990000,56,11.7,22,4.6,37,7.7,NA,NA,NA,NA,NA,NA,226,47.3,200,41.8,2016-17
Hampden-Wilbraham,06800000,100,3.2,28,0.9,477,15.2,NA,NA,NA,NA,NA,NA,804,25.6,441,14.2,2016-17
Hampshire,06830000,25,3.4,6,0.8,141,18.8,NA,NA,NA,NA,NA,NA,222,29.6,121,16.3,2016-17
Hancock,01210000,0,0,0,0,2,5.6,NA,NA,NA,NA,NA,NA,8,22.2,7,19.4,2016-17
Hanover,01220000,59,2.2,26,1,511,19.3,NA,NA,NA,NA,NA,NA,642,24.3,164,6.2,2016-17
Harvard,01250000,45,4,12,1.1,137,12.1,NA,NA,NA,NA,NA,NA,200,17.6,52,4.7,2016-17
Hatfield,01270000,1,0.2,1,0.2,81,18.2,NA,NA,NA,NA,NA,NA,125,28.1,53,12,2016-17
Haverhill,01280000,1206,16.2,651,8.7,1714,22.8,NA,NA,NA,NA,NA,NA,4375,58.2,3362,45.1,2016-17
Hawlemont,06850000,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,67,63.8,55,52.4,2016-17
Helen Y. Davis Leadership Academy Charter Public (District),04190000,38,17.5,27,12.4,60,27.6,NA,NA,NA,NA,NA,NA,154,71,113,52.1,2016-17
Hill View Montessori Charter Public (District),04550000,13,4.2,9,2.9,0,0,NA,NA,NA,NA,NA,NA,49,16,45,14.7,2016-17
Hilltown Cooperative Charter Public (District),04500000,2,0.9,0,0,36,16.5,NA,NA,NA,NA,NA,NA,53,24.3,25,11.5,2016-17
Hingham,01310000,43,1,6,0.1,539,12.4,NA,NA,NA,NA,NA,NA,719,16.5,231,5.4,2016-17
Holbrook,01330000,162,13.8,79,6.8,237,19.8,NA,NA,NA,NA,NA,NA,576,48,379,32.4,2016-17
Holland,01350000,0,0,0,0,30,12.7,NA,NA,NA,NA,NA,NA,82,34.6,65,27.4,2016-17
Holliston,01360000,239,8.3,69,2.4,478,16.4,NA,NA,NA,NA,NA,NA,672,23,200,6.9,2016-17
Holyoke,01370000,2342,43.8,1244,23.3,1263,23.3,NA,NA,NA,NA,NA,NA,4464,82.4,4007,75,2016-17
Holyoke Community Charter (District),04530000,172,24.5,90,12.8,105,15,NA,NA,NA,NA,NA,NA,531,75.6,474,67.5,2016-17
Hopedale,01380000,53,4.7,10,0.9,217,18.8,NA,NA,NA,NA,NA,NA,303,26.3,117,10.3,2016-17
Hopkinton,01390000,161,4.7,83,2.4,436,12.5,NA,NA,NA,NA,NA,NA,612,17.6,136,3.9,2016-17
Hudson,01410000,468,17.7,197,7.5,456,17,NA,NA,NA,NA,NA,NA,979,36.4,568,21.5,2016-17
Hull,01420000,8,0.9,7,0.8,189,19.8,NA,NA,NA,NA,NA,NA,378,39.6,261,28.1,2016-17
Innovation Academy Charter (District),04350000,38,4.8,20,2.5,148,18.7,NA,NA,NA,NA,NA,NA,226,28.5,77,9.7,2016-17
Ipswich,01440000,61,3.4,40,2.2,284,15.8,NA,NA,NA,NA,NA,NA,463,25.7,221,12.4,2016-17
King Philip,06900000,42,2,5,0.2,310,14.5,NA,NA,NA,NA,NA,NA,420,19.6,152,7.3,2016-17
Kingston,01450000,24,2.4,15,1.5,173,16.5,NA,NA,NA,NA,NA,NA,320,30.5,164,16.1,2016-17
KIPP Academy Boston Charter School (District),04630000,264,52.3,158,31.3,97,19.2,NA,NA,NA,NA,NA,NA,408,80.8,315,62.4,2016-17
KIPP Academy Lynn Charter (District),04290000,815,68.1,328,27.4,149,12.5,NA,NA,NA,NA,NA,NA,828,69.2,575,48.1,2016-17
Lanesborough,01480000,1,0.5,1,0.5,39,18.9,NA,NA,NA,NA,NA,NA,72,35,45,21.8,2016-17
Lawrence,01490000,9871,71.2,4261,30.7,2716,19.4,NA,NA,NA,NA,NA,NA,11655,83.3,8991,64.9,2016-17
Lawrence Family Development Charter (District),04540000,225,31.4,189,26.4,46,6.4,NA,NA,NA,NA,NA,NA,500,69.7,392,54.7,2016-17
Lee,01500000,34,5,15,2.2,89,13,NA,NA,NA,NA,NA,NA,302,44,237,34.6,2016-17
Leicester,01510000,80,5.1,29,1.8,246,15.4,NA,NA,NA,NA,NA,NA,554,34.8,353,22.4,2016-17
Lenox,01520000,50,6.5,26,3.4,70,9.1,NA,NA,NA,NA,NA,NA,204,26.6,139,18.2,2016-17
Leominster,01530000,1256,20.8,493,8.2,1344,22,NA,NA,NA,NA,NA,NA,3196,52.3,2249,37.2,2016-17
Leverett,01540000,1,0.7,0,0,15,10.9,NA,NA,NA,NA,NA,NA,39,28.5,32,23.5,2016-17
Lexington,01550000,1896,26.8,496,7,958,13.4,NA,NA,NA,NA,NA,NA,1853,25.8,389,5.5,2016-17
Lincoln,01570000,74,6.2,32,2.7,217,17.8,NA,NA,NA,NA,NA,NA,289,23.6,60,5,2016-17
Lincoln-Sudbury,06950000,56,3.6,4,0.3,299,18.4,NA,NA,NA,NA,NA,NA,363,22.3,87,5.5,2016-17
Littleton,01580000,76,4.6,33,2,338,20.2,NA,NA,NA,NA,NA,NA,458,27.3,145,8.8,2016-17
Longmeadow,01590000,161,5.7,34,1.2,521,18,NA,NA,NA,NA,NA,NA,682,23.6,182,6.4,2016-17
Lowell,01600000,4324,30,3619,25.1,2327,16,NA,NA,NA,NA,NA,NA,10342,71,7803,54.1,2016-17
Lowell Community Charter Public (District),04560000,561,68.7,400,49,127,15.5,NA,NA,NA,NA,NA,NA,638,78.1,384,47,2016-17
Lowell Middlesex Academy Charter (District),04580000,3,3.2,1,1.1,26,27.7,NA,NA,NA,NA,NA,NA,70,74.5,62,66,2016-17
Ludlow,01610000,208,7.8,68,2.6,412,15.4,NA,NA,NA,NA,NA,NA,967,36.1,682,25.6,2016-17
Lunenburg,01620000,46,2.9,26,1.6,283,17.4,NA,NA,NA,NA,NA,NA,476,29.3,263,16.3,2016-17
Lynn,01630000,8166,53.4,3052,19.9,2404,15.5,NA,NA,NA,NA,NA,NA,10665,68.9,7904,51.7,2016-17
Lynnfield,01640000,114,5.2,16,0.7,390,17.5,NA,NA,NA,NA,NA,NA,525,23.6,145,6.6,2016-17
Ma Academy for Math and Science,04680000,9,9.3,0,0,0,0,NA,NA,NA,NA,NA,NA,5,5.2,5,5.2,2016-17
Malden,01650000,3499,52.8,1324,20,1099,16.4,NA,NA,NA,NA,NA,NA,4390,65.3,2915,44,2016-17
Manchester Essex Regional,06980000,28,2,10,0.7,159,11.3,NA,NA,NA,NA,NA,NA,270,19.1,111,8,2016-17
Mansfield,01670000,184,4.6,59,1.5,581,14.6,NA,NA,NA,NA,NA,NA,960,24.1,470,11.9,2016-17
Marblehead,01680000,192,6.1,122,3.9,616,19.5,NA,NA,NA,NA,NA,NA,866,27.3,293,9.3,2016-17
Marblehead Community Charter Public (District),04640000,11,4.8,11,4.8,49,21.3,NA,NA,NA,NA,NA,NA,66,28.7,7,3,2016-17
Marion,01690000,8,1.7,3,0.7,93,20,NA,NA,NA,NA,NA,NA,167,36,100,21.8,2016-17
Marlborough,01700000,1937,42.8,927,20.5,809,17.6,NA,NA,NA,NA,NA,NA,2561,55.8,1489,32.9,2016-17
Marshfield,01710000,83,2,40,0.9,693,16.1,NA,NA,NA,NA,NA,NA,1085,25.3,495,11.7,2016-17
Martha's Vineyard,07000000,80,12.1,41,6.2,134,20,NA,NA,NA,NA,NA,NA,256,38.3,131,19.8,2016-17
Martha's Vineyard Charter (District),04660000,8,4.6,7,4,45,26,NA,NA,NA,NA,NA,NA,83,48,51,29.5,2016-17
Martin Luther King Jr. Charter School of Excellence (District),04920000,65,17.8,58,15.8,67,18.3,NA,NA,NA,NA,NA,NA,291,79.5,270,73.8,2016-17
Masconomet,07050000,26,1.4,5,0.3,317,16.9,NA,NA,NA,NA,NA,NA,405,21.6,110,6,2016-17
Mashpee,01720000,80,5.3,48,3.2,290,19.1,NA,NA,NA,NA,NA,NA,641,42.2,422,28.1,2016-17
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,7,1,7,1,121,18.1,NA,NA,NA,NA,NA,NA,368,55.2,319,47.8,2016-17
MATCH Charter Public School (District),04690000,687,60,392,34.2,221,19.3,NA,NA,NA,NA,NA,NA,871,76.1,646,56.4,2016-17
Mattapoisett,01730000,9,2,3,0.7,64,14,NA,NA,NA,NA,NA,NA,126,27.6,80,17.9,2016-17
Maynard,01740000,123,8.5,62,4.3,248,17,NA,NA,NA,NA,NA,NA,468,32.2,246,17.1,2016-17
Medfield,01750000,67,2.6,29,1.1,295,11.2,NA,NA,NA,NA,NA,NA,403,15.3,108,4.1,2016-17
Medford,01760000,913,20.3,434,9.7,828,18.3,NA,NA,NA,NA,NA,NA,2113,46.6,1286,28.7,2016-17
Medway,01770000,22,0.9,19,0.8,341,14.5,NA,NA,NA,NA,NA,NA,495,21,191,8.2,2016-17
Melrose,01780000,391,10.3,149,3.9,577,15,NA,NA,NA,NA,NA,NA,1003,26.2,431,11.3,2016-17
Mendon-Upton,07100000,66,2.9,25,1.1,334,14.7,NA,NA,NA,NA,NA,NA,501,22.1,203,9.1,2016-17
Methuen,01810000,1735,25.2,567,8.2,1190,17,NA,NA,NA,NA,NA,NA,3235,46.1,2190,31.8,2016-17
Middleborough,01820000,38,1.4,21,0.8,534,19.1,NA,NA,NA,NA,NA,NA,1095,39.2,762,27.6,2016-17
Middleton,01840000,32,4.6,8,1.1,133,18.9,NA,NA,NA,NA,NA,NA,182,25.9,55,7.9,2016-17
Milford,01850000,1140,27.2,561,13.4,630,14.9,NA,NA,NA,NA,NA,NA,1989,47.1,1325,31.6,2016-17
Millbury,01860000,109,6.3,42,2.4,314,18,NA,NA,NA,NA,NA,NA,670,38.5,422,24.4,2016-17
Millis,01870000,14,1.1,9,0.7,175,13.1,NA,NA,NA,NA,NA,NA,289,21.6,137,10.4,2016-17
Milton,01890000,306,7.4,83,2,634,15.1,NA,NA,NA,NA,NA,NA,989,23.6,380,9.2,2016-17
Minuteman Regional Vocational Technical,08300000,29,5,5,0.9,281,48.3,NA,NA,NA,NA,NA,NA,363,62.4,152,26.1,2016-17
Mohawk Trail,07170000,1,0.1,1,0.1,198,20.3,NA,NA,NA,NA,NA,NA,434,44.6,320,33.2,2016-17
Monomoy Regional School District,07120000,147,7.9,72,3.9,315,16.8,NA,NA,NA,NA,NA,NA,716,38.2,462,24.8,2016-17
Monson,01910000,25,2.6,8,0.8,144,14.5,NA,NA,NA,NA,NA,NA,333,33.5,237,24.2,2016-17
Montachusett Regional Vocational Technical,08320000,55,3.8,6,0.4,209,14.6,NA,NA,NA,NA,NA,NA,492,34.4,329,23,2016-17
Mount Greylock,07150000,4,0.7,1,0.2,88,15.5,NA,NA,NA,NA,NA,NA,157,27.7,99,17.6,2016-17
Mystic Valley Regional Charter (District),04700000,499,33.6,24,1.6,196,13.2,NA,NA,NA,NA,NA,NA,435,29.3,255,17.2,2016-17
Nahant,01960000,2,1.4,0,0,12,8.5,NA,NA,NA,NA,NA,NA,37,26.1,28,19.7,2016-17
Nantucket,01970000,452,28.6,255,16.1,215,13.5,NA,NA,NA,NA,NA,NA,643,40.4,294,18.6,2016-17
Narragansett,07200000,4,0.3,0,0,253,17.9,NA,NA,NA,NA,NA,NA,518,36.7,353,25.4,2016-17
Nashoba,07250000,107,3.1,44,1.3,533,15.5,NA,NA,NA,NA,NA,NA,741,21.6,245,7.2,2016-17
Nashoba Valley Regional Vocational Technical,08520000,8,1.1,0,0,250,34.2,NA,NA,NA,NA,NA,NA,350,47.8,143,19.5,2016-17
Natick,01980000,494,9,112,2,815,14.7,NA,NA,NA,NA,NA,NA,1312,23.7,535,9.8,2016-17
Nauset,06600000,44,3,15,1,239,16.1,NA,NA,NA,NA,NA,NA,477,32.1,282,19.3,2016-17
Needham,01990000,518,9.3,138,2.5,926,16.3,NA,NA,NA,NA,NA,NA,1274,22.5,302,5.4,2016-17
Neighborhood House Charter (District),04440000,96,21,30,6.6,69,15.1,NA,NA,NA,NA,NA,NA,222,48.6,153,33.5,2016-17
New Bedford,02010000,4538,35.9,3472,27.5,2632,20.6,NA,NA,NA,NA,NA,NA,9886,77.4,8029,63.5,2016-17
New Heights Charter School of Brockton (District),35130000,15,4.8,14,4.5,25,8,NA,NA,NA,NA,NA,NA,174,55.6,147,47,2016-17
New Salem-Wendell,07280000,1,0.6,0,0,31,18.2,NA,NA,NA,NA,NA,NA,77,45.3,64,37.9,2016-17
Newburyport,02040000,78,3.4,20,0.9,355,15.3,NA,NA,NA,NA,NA,NA,516,22.3,206,9,2016-17
Newton,02070000,3073,24,859,6.7,2553,19.7,NA,NA,NA,NA,NA,NA,4182,32.3,1153,9,2016-17
Norfolk,02080000,25,2.7,17,1.8,136,14.5,NA,NA,NA,NA,NA,NA,191,20.3,58,6.2,2016-17
Norfolk County Agricultural,09150000,0,0,0,0,93,17.4,NA,NA,NA,NA,NA,NA,157,29.4,75,14,2016-17
North Adams,02090000,28,1.9,20,1.4,384,26,NA,NA,NA,NA,NA,NA,984,66.5,866,59.1,2016-17
North Andover,02110000,383,8,88,1.8,738,15.2,NA,NA,NA,NA,NA,NA,1266,26.1,607,12.7,2016-17
North Attleborough,02120000,300,6.8,140,3.2,659,14.9,NA,NA,NA,NA,NA,NA,1240,28.1,659,15,2016-17
North Brookfield,02150000,5,0.9,0,0,71,12.7,NA,NA,NA,NA,NA,NA,235,41.9,197,35.2,2016-17
North Middlesex,07350000,51,1.6,25,0.8,652,20.6,NA,NA,NA,NA,NA,NA,1042,32.9,538,17.3,2016-17
North Reading,02170000,26,1,13,0.5,450,17.9,NA,NA,NA,NA,NA,NA,589,23.4,181,7.3,2016-17
Northampton,02100000,262,9.8,116,4.3,529,19.5,NA,NA,NA,NA,NA,NA,1037,38.2,682,25.5,2016-17
Northampton-Smith Vocational Agricultural,04060000,20,4.1,12,2.5,175,36,NA,NA,NA,NA,NA,NA,263,54.1,151,31.1,2016-17
Northboro-Southboro,07300000,134,9.3,17,1.2,168,11.6,NA,NA,NA,NA,NA,NA,254,17.5,80,5.5,2016-17
Northborough,02130000,244,14.2,87,5.1,315,18.2,NA,NA,NA,NA,NA,NA,499,28.8,167,9.7,2016-17
Northbridge,02140000,92,4.1,59,2.6,415,18.1,NA,NA,NA,NA,NA,NA,903,39.3,639,28.2,2016-17
Northeast Metropolitan Regional Vocational Technical,08530000,241,19.1,23,1.8,293,23.2,NA,NA,NA,NA,NA,NA,613,48.6,388,30.8,2016-17
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,93,19.2,NA,NA,NA,NA,NA,NA,195,40.3,146,30.2,2016-17
Norton,02180000,42,1.7,30,1.2,465,18.3,NA,NA,NA,NA,NA,NA,767,30.2,411,16.4,2016-17
Norwell,02190000,31,1.4,3,0.1,312,14.1,NA,NA,NA,NA,NA,NA,376,17,76,3.5,2016-17
Norwood,02200000,623,18.3,268,7.9,678,19.5,NA,NA,NA,NA,NA,NA,1427,41.1,773,22.7,2016-17
Oak Bluffs,02210000,87,19.9,73,16.7,79,18,NA,NA,NA,NA,NA,NA,199,45.4,97,22.2,2016-17
Old Colony Regional Vocational Technical,08550000,1,0.2,1,0.2,129,23.6,NA,NA,NA,NA,NA,NA,195,35.7,96,17.6,2016-17
Old Rochester,07400000,12,1,0,0,151,12.2,NA,NA,NA,NA,NA,NA,243,19.6,120,9.7,2016-17
Orange,02230000,10,1.6,9,1.4,155,24.4,NA,NA,NA,NA,NA,NA,401,63.2,341,54.2,2016-17
Orleans,02240000,8,3.7,7,3.3,36,16.7,NA,NA,NA,NA,NA,NA,71,32.9,47,21.9,2016-17
Oxford,02260000,22,1.3,7,0.4,272,15.5,NA,NA,NA,NA,NA,NA,739,42.1,588,33.8,2016-17
Palmer,02270000,44,3.1,27,1.9,283,19.5,NA,NA,NA,NA,NA,NA,712,49,555,38.9,2016-17
Pathfinder Regional Vocational Technical,08600000,1,0.2,0,0,159,25.7,NA,NA,NA,NA,NA,NA,321,51.9,226,36.6,2016-17
Paulo Freire Social Justice Charter School (District),35010000,123,37.5,34,10.4,58,17.7,NA,NA,NA,NA,NA,NA,256,78,228,69.5,2016-17
Peabody,02290000,543,9.1,400,6.7,1142,18.9,NA,NA,NA,NA,NA,NA,2723,45.1,1789,30,2016-17
Pelham,02300000,1,0.8,0,0,29,22,NA,NA,NA,NA,NA,NA,43,32.6,26,19.7,2016-17
Pembroke,02310000,30,1,20,0.7,394,13,NA,NA,NA,NA,NA,NA,716,23.6,380,12.7,2016-17
Pentucket,07450000,4,0.2,4,0.2,483,19.1,NA,NA,NA,NA,NA,NA,649,25.7,260,10.4,2016-17
Petersham,02340000,0,0,0,0,21,16.8,NA,NA,NA,NA,NA,NA,41,32.8,22,17.7,2016-17
Phoenix Academy Public Charter High School Springfield (District),35080000,31,16.1,29,15,60,31.1,NA,NA,NA,NA,NA,NA,172,89.1,157,81.3,2016-17
Phoenix Charter Academy (District),04930000,110,64.7,93,54.7,19,11.2,NA,NA,NA,NA,NA,NA,139,81.8,57,33.5,2016-17
Pioneer Charter School of Science (District),04940000,380,70,187,34.4,44,8.1,NA,NA,NA,NA,NA,NA,356,65.6,207,38.1,2016-17
Pioneer Charter School of Science II (PCSS-II) (District),35060000,165,51.2,82,25.5,37,11.5,NA,NA,NA,NA,NA,NA,172,53.4,93,28.9,2016-17
Pioneer Valley,07500000,8,0.9,0,0,139,16,NA,NA,NA,NA,NA,NA,294,33.8,195,22.5,2016-17
Pioneer Valley Chinese Immersion Charter (District),04970000,62,13.2,12,2.5,28,5.9,NA,NA,NA,NA,NA,NA,107,22.7,73,15.5,2016-17
Pioneer Valley Performing Arts Charter Public (District),04790000,0,0,0,0,74,18.6,NA,NA,NA,NA,NA,NA,140,35.2,85,21.4,2016-17
Pittsfield,02360000,386,7,245,4.5,1165,21,NA,NA,NA,NA,NA,NA,3264,58.9,2734,49.8,2016-17
Plainville,02380000,61,8.5,28,3.9,113,15.7,NA,NA,NA,NA,NA,NA,216,30,106,14.8,2016-17
Plymouth,02390000,220,2.9,74,1,1472,19.3,NA,NA,NA,NA,NA,NA,2778,36.4,1793,23.7,2016-17
Plympton,02400000,0,0,0,0,38,17.8,NA,NA,NA,NA,NA,NA,75,35.2,42,20.1,2016-17
Prospect Hill Academy Charter (District),04870000,509,44.8,141,12.4,168,14.8,NA,NA,NA,NA,NA,NA,608,53.6,430,37.9,2016-17
Provincetown,02420000,28,21.7,22,17.1,24,18.6,NA,NA,NA,NA,NA,NA,79,61.2,48,37.2,2016-17
Quabbin,07530000,25,1.1,6,0.3,466,20.3,NA,NA,NA,NA,NA,NA,855,37.2,550,24.5,2016-17
Quaboag Regional,07780000,51,3.6,41,2.9,221,15.7,NA,NA,NA,NA,NA,NA,655,46.6,524,37.4,2016-17
Quincy,02430000,3468,37.5,1416,15.3,1658,17.6,NA,NA,NA,NA,NA,NA,5300,56.4,3325,35.9,2016-17
Ralph C Mahar,07550000,14,1.9,14,1.9,127,16.4,NA,NA,NA,NA,NA,NA,352,45.4,285,37.9,2016-17
Randolph,02440000,1034,36.6,345,12.2,665,23.1,NA,NA,NA,NA,NA,NA,1857,64.5,1252,44.3,2016-17
Reading,02460000,94,2.2,46,1.1,727,16.6,NA,NA,NA,NA,NA,NA,971,22.2,308,7.1,2016-17
Revere,02480000,4318,58,1423,19.1,1159,15.3,NA,NA,NA,NA,NA,NA,4684,61.7,3112,41.8,2016-17
Richmond,02490000,0,0,0,0,9,5.2,NA,NA,NA,NA,NA,NA,37,21.4,30,17.3,2016-17
Rising Tide Charter Public (District),04830000,3,0.5,0,0,96,14.4,NA,NA,NA,NA,NA,NA,141,21.2,59,8.9,2016-17
River Valley Charter (District),04820000,5,1.7,0,0,35,12.2,NA,NA,NA,NA,NA,NA,51,17.7,18,6.3,2016-17
Rochester,02500000,3,0.6,2,0.4,86,18.4,NA,NA,NA,NA,NA,NA,128,27.4,58,12.4,2016-17
Rockland,02510000,185,8.1,92,4,285,12.3,NA,NA,NA,NA,NA,NA,932,40.1,732,31.9,2016-17
Rockport,02520000,8,0.9,3,0.3,176,18.6,NA,NA,NA,NA,NA,NA,300,31.7,154,16.6,2016-17
Rowe,02530000,0,0,0,0,17,28.8,NA,NA,NA,NA,NA,NA,26,44.1,11,18.6,2016-17
Roxbury Preparatory Charter (District),04840000,462,35.4,293,22.4,202,15.5,NA,NA,NA,NA,NA,NA,909,69.6,732,56,2016-17
Sabis International Charter (District),04410000,93,5.9,84,5.3,205,13,NA,NA,NA,NA,NA,NA,741,47,579,36.7,2016-17
Salem,02580000,1053,27.9,478,12.7,826,21.5,NA,NA,NA,NA,NA,NA,2313,60.3,1759,46.6,2016-17
Salem Academy Charter (District),04850000,78,17.6,45,10.2,0,0,NA,NA,NA,NA,NA,NA,159,36,141,31.9,2016-17
Sandwich,02610000,35,1.3,28,1,476,17.2,NA,NA,NA,NA,NA,NA,810,29.2,434,15.9,2016-17
Saugus,02620000,371,14.3,105,4,416,15.8,NA,NA,NA,NA,NA,NA,1072,40.8,689,26.5,2016-17
Savoy,02630000,0,0,0,0,9,18.4,NA,NA,NA,NA,NA,NA,30,61.2,24,49,2016-17
Scituate,02640000,48,1.6,25,0.8,419,13.8,NA,NA,NA,NA,NA,NA,646,21.3,291,9.7,2016-17
Seekonk,02650000,99,5.1,51,2.6,332,16.6,NA,NA,NA,NA,NA,NA,595,29.8,298,15.3,2016-17
Seven Hills Charter Public (District),04860000,283,42.4,174,26.1,98,14.7,NA,NA,NA,NA,NA,NA,497,74.5,369,55.3,2016-17
Sharon,02660000,866,25,117,3.4,425,12.1,NA,NA,NA,NA,NA,NA,746,21.3,231,6.7,2016-17
Shawsheen Valley Regional Vocational Technical,08710000,12,0.9,0,0,321,24,NA,NA,NA,NA,NA,NA,445,33.3,175,13.1,2016-17
Sherborn,02690000,25,5.8,7,1.6,63,14.6,NA,NA,NA,NA,NA,NA,81,18.8,17,4,2016-17
Shrewsbury,02710000,1872,30.2,249,4,852,13.6,NA,NA,NA,NA,NA,NA,1587,25.4,566,9.1,2016-17
Shutesbury,02720000,1,0.8,1,0.8,18,14.9,NA,NA,NA,NA,NA,NA,51,42.1,37,30.6,2016-17
Silver Hill Horace Mann Charter (District),04770000,39,6.9,22,3.9,0,0,NA,NA,NA,NA,NA,NA,156,27.5,140,24.7,2016-17
Silver Lake,07600000,7,0.4,2,0.1,286,15.5,NA,NA,NA,NA,NA,NA,480,26,259,14,2016-17
Sizer School: A North Central Charter Essential (District),04740000,7,1.9,3,0.8,89,24.1,NA,NA,NA,NA,NA,NA,180,48.6,115,31.1,2016-17
Somerset,02730000,23,1.3,14,0.8,257,14.1,NA,NA,NA,NA,NA,NA,577,31.8,378,21.1,2016-17
Somerset Berkley Regional School District,07630000,14,1.4,3,0.3,118,11.5,NA,NA,NA,NA,NA,NA,235,22.9,140,13.9,2016-17
Somerville,02740000,2429,49.3,946,19.2,1087,21.7,NA,NA,NA,NA,NA,NA,3015,60.2,1942,39.4,2016-17
South Hadley,02780000,107,5.7,67,3.6,319,16.9,NA,NA,NA,NA,NA,NA,708,37.5,482,25.8,2016-17
South Middlesex Regional Vocational Technical,08290000,144,20.1,53,7.4,318,44.4,NA,NA,NA,NA,NA,NA,510,71.1,273,38.1,2016-17
South Shore Charter Public (District),04880000,205,27,120,15.8,119,15.7,NA,NA,NA,NA,NA,NA,288,38,110,14.5,2016-17
South Shore Regional Vocational Technical,08730000,1,0.2,0,0,196,30.8,NA,NA,NA,NA,NA,NA,303,47.6,163,25.6,2016-17
Southampton,02750000,18,3.5,11,2.1,107,20.4,NA,NA,NA,NA,NA,NA,165,31.5,81,15.6,2016-17
Southborough,02760000,145,11.2,79,6.1,185,14.1,NA,NA,NA,NA,NA,NA,309,23.6,50,3.9,2016-17
Southbridge,02770000,625,29.5,450,21.2,466,21.6,NA,NA,NA,NA,NA,NA,1690,78.3,1422,67,2016-17
Southeastern Regional Vocational Technical,08720000,336,23.7,25,1.8,300,21.2,NA,NA,NA,NA,NA,NA,779,55,553,39.1,2016-17
Southern Berkshire,07650000,28,3.9,14,1.9,102,14,NA,NA,NA,NA,NA,NA,294,40.4,223,30.8,2016-17
Southern Worcester County Regional Vocational Technical,08760000,4,0.4,0,0,163,14.6,NA,NA,NA,NA,NA,NA,403,36.2,298,26.8,2016-17
Southwick-Tolland-Granville Regional School District,07660000,51,3.3,33,2.1,327,21,NA,NA,NA,NA,NA,NA,570,36.6,343,22.1,2016-17
Spencer-E Brookfield,07670000,21,1.5,16,1.1,315,22.1,NA,NA,NA,NA,NA,NA,671,47,463,33.2,2016-17
Springfield,02810000,6869,26.8,4007,15.6,5384,20.8,NA,NA,NA,NA,NA,NA,21076,81.5,19035,74.3,2016-17
